date,1. open,2. high,3. low,4. close,5. volume
2020-04-08,0.3,0.34,0.25,0.34,701000.0
2020-04-01,0.31,0.36,0.3,0.36,102100.0
2020-03-31,0.3,0.39,0.3,0.39,1100.0
2020-03-27,0.4,0.4,0.4,0.4,200.0
2020-03-25,0.3,0.3,0.27,0.27,22450.0
2020-03-24,0.27,0.27,0.2696,0.2696,6500.0
2020-03-23,0.29,0.29,0.29,0.29,35000.0
2020-03-20,0.2901,0.36,0.29,0.36,25049.0
2020-03-19,0.3001,0.39,0.3,0.39,35550.0
2020-03-18,0.39,0.4,0.39,0.4,1000.0
2020-03-17,0.38,0.38,0.38,0.38,300.0
2020-03-16,0.318,0.4,0.308,0.4,34776.0
2020-03-12,0.39,0.39,0.345,0.39,10200.0
2020-03-11,0.42,0.44,0.35,0.44,41420.0
2020-03-10,0.44,0.45,0.4,0.44,100956.0
2020-03-09,0.42,0.44,0.42,0.44,5500.0
2020-03-06,0.4095,0.45,0.405,0.45,10300.0
2020-03-05,0.4,0.45,0.392,0.392,26500.0
2020-03-04,0.44,0.44,0.44,0.44,500.0
2020-03-03,0.48,0.48,0.42,0.45,12700.0
2020-03-02,0.48,0.48,0.48,0.48,25300.0
2020-02-28,0.46,0.48,0.3601,0.48,76434.0
2020-02-27,0.4411,0.48,0.4411,0.475,39517.0
2020-02-26,0.455,0.48,0.4,0.48,59501.0
2020-02-25,0.4,0.45,0.399,0.45,115550.0
2020-02-24,0.4101,0.4101,0.3628,0.3628,47901.0
2020-02-20,0.412,0.478,0.412,0.4129,50600.0
2020-02-18,0.4121,0.44,0.412,0.44,11500.0
2020-02-14,0.45,0.45,0.45,0.45,50.0
2020-02-13,0.43,0.45,0.4,0.45,62561.0
2020-02-12,0.43,0.49,0.43,0.45,18300.0
2020-02-07,0.5,0.5,0.5,0.5,3000.0
2020-02-05,0.5,0.5,0.5,0.5,1.0
2020-01-31,0.45,0.5,0.45,0.5,610278.0
2020-01-28,0.45,0.45,0.43,0.45,26400.0
2020-01-24,0.5,0.5,0.5,0.5,100.0
2020-01-22,0.49,0.5,0.49,0.5,10400.0
2020-01-17,0.3563,0.5,0.3563,0.5,50429.0
2020-01-16,0.41,0.5,0.41,0.5,35200.0
2020-01-15,0.5001,0.5001,0.5001,0.5001,5400.0
2020-01-13,0.5374,0.54,0.51,0.51,5500.0
2020-01-10,0.53,0.54,0.5022,0.5022,32000.0
2020-01-07,0.5201,0.54,0.5001,0.5001,5400.0
2020-01-03,0.52,0.52,0.52,0.52,100.0
2020-01-02,0.54,0.54,0.45,0.45,1000.0
2019-12-27,0.59,0.6,0.59,0.59,29000.0
2019-12-26,0.55,0.55,0.55,0.55,1000.0
2019-12-24,0.55,0.5501,0.55,0.55,2100.0
2019-12-20,0.6067,0.61,0.545,0.6,47200.0
2019-12-19,0.62,0.62,0.57,0.6,37800.0
2019-12-18,0.58,0.65,0.57,0.64,27980.0
2019-12-17,0.65,0.65,0.65,0.65,400.0
2019-12-13,0.63,0.65,0.61,0.65,10900.0
