date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,3.36,3.4,3.27,3.37,450575.0
2020-04-23,3.49,3.49,3.21,3.31,1014403.0
2020-04-22,3.27,3.31,3.16,3.17,304682.0
2020-04-21,3.06,3.215,3.01,3.19,571159.0
2020-04-20,3.23,3.3,3.07,3.13,451421.0
2020-04-17,3.21,3.25,3.12,3.23,361888.0
2020-04-16,3.14,3.21,3.01,3.14,421830.0
2020-04-15,3.19,3.27,3.075,3.17,398977.0
2020-04-14,3.12,3.35,3.07,3.29,754321.0
2020-04-13,3.04,3.09,2.96,3.06,403154.0
2020-04-09,3.02,3.12,2.9,3.08,636435.0
2020-04-08,2.91,3.01,2.805,2.93,413837.0
2020-04-07,3.05,3.09,2.74,2.85,619997.0
2020-04-06,2.74,2.97,2.68,2.95,888198.0
2020-04-03,2.64,2.68,2.53,2.62,566743.0
2020-04-02,2.79,2.83,2.58,2.63,917981.0
2020-04-01,3.04,3.11,2.81,2.82,1093877.0
2020-03-31,3.02,3.46,2.92,3.15,2086093.0
2020-03-30,2.9,3.02,2.675,3.01,1140805.0
2020-03-27,2.9,3.01,2.76,2.92,647599.0
2020-03-26,2.88,3.07,2.8193,2.98,1058452.0
2020-03-25,2.98,3.16,2.77,2.89,656345.0
2020-03-24,3.02,3.08,2.65,2.99,1063398.0
2020-03-23,2.46,2.95,2.23,2.81,882351.0
2020-03-20,2.54,2.65,2.39,2.43,2003787.0
2020-03-19,2.31,2.55,2.28,2.49,1255956.0
2020-03-18,2.48,2.51,2.27,2.38,1353491.0
2020-03-17,2.55,2.6427,2.4,2.52,1537066.0
2020-03-16,2.5,2.54,2.2,2.49,1514672.0
2020-03-13,2.93,2.95,2.55,2.65,1493598.0
2020-03-12,3.0,3.0,2.66,2.69,1926710.0
2020-03-11,3.45,3.55,3.19,3.32,1057367.0
2020-03-10,3.7,3.78,3.38,3.55,892051.0
2020-03-09,3.76,3.89,3.51,3.57,945796.0
2020-03-06,4.24,4.24,3.82,4.08,1163283.0
2020-03-05,4.14,4.44,4.12,4.2,855755.0
2020-03-04,4.35,4.54,4.03,4.25,1138255.0
2020-03-03,4.16,4.39,4.07,4.23,1519205.0
2020-03-02,3.82,4.13,3.7,4.12,1581962.0
2020-02-28,3.52,3.82,3.47,3.81,1807870.0
2020-02-27,4.12,4.19,3.8,3.81,1487380.0
2020-02-26,4.33,4.38,3.94,4.09,1582811.0
2020-02-25,4.76,4.78,4.28,4.385,1970419.0
2020-02-24,4.92,5.05,4.63,4.72,1876813.0
2020-02-21,5.15,5.35,4.91,5.09,1407380.0
2020-02-20,5.14,5.71,5.0,5.16,1271387.0
2020-02-19,5.98,6.31,4.88,5.34,3676428.0
2020-02-18,5.1,6.0,5.05,5.81,2355412.0
2020-02-14,5.08,5.38,4.88,5.0,1969777.0
2020-02-13,4.65,5.34,4.61,4.97,2985034.0
2020-02-12,4.26,4.91,4.1,4.645,2386864.0
2020-02-11,4.01,4.295,3.94,4.25,1228153.0
2020-02-10,3.99,4.26,3.95,4.0,1050130.0
2020-02-07,4.17,4.59,3.87,3.99,2809240.0
2020-02-06,3.85,4.4,3.7,4.15,2401182.0
2020-02-05,3.62,3.91,3.6,3.78,1415155.0
2020-02-04,3.3,3.65,3.12,3.58,1455247.0
2020-02-03,2.98,3.39,2.97,3.28,2591748.0
2020-01-31,2.89,2.95,2.8,2.86,369575.0
2020-01-30,2.96,2.99,2.8016,2.89,500247.0
2020-01-29,2.99,3.08,2.95,2.97,301439.0
2020-01-28,2.97,3.08,2.9462,2.98,454710.0
2020-01-27,2.8,2.97,2.76,2.93,628233.0
2020-01-24,3.0,3.03,2.858,2.92,543201.0
2020-01-23,3.06,3.09,2.9143,2.99,696111.0
2020-01-22,3.19,3.21,3.0,3.06,633436.0
2020-01-21,3.37,3.39,3.11,3.17,843876.0
2020-01-17,3.2,3.4,3.15,3.3,1029432.0
2020-01-16,3.06,3.2,3.03,3.17,792199.0
2020-01-15,3.07,3.07,2.95,3.02,697704.0
2020-01-14,3.07,3.14,2.93,2.96,756045.0
2020-01-13,3.0,3.23,3.0,3.1,1045976.0
2020-01-10,2.96,3.02,2.8692,2.99,798163.0
2020-01-09,2.93,3.06,2.8599,2.88,869970.0
2020-01-08,2.96,2.98,2.74,2.85,992979.0
2020-01-07,2.97,2.99,2.775,2.9,635691.0
2020-01-06,2.65,3.0,2.63,2.96,1248422.0
2020-01-03,2.78,2.78,2.55,2.65,860090.0
2020-01-02,2.63,2.88,2.57,2.87,1071220.0
2019-12-31,2.36,2.59,2.36,2.59,541340.0
2019-12-30,2.55,2.569,2.35,2.36,832657.0
2019-12-27,2.84,2.9,2.51,2.54,1024434.0
2019-12-26,2.55,2.81,2.5491,2.79,820772.0
2019-12-24,2.53,2.53,2.43,2.53,367270.0
2019-12-23,2.39,2.53,2.35,2.51,738996.0
2019-12-20,2.41,2.45,2.35,2.45,696314.0
2019-12-19,2.44,2.475,2.38,2.41,416156.0
2019-12-18,2.42,2.48,2.39,2.43,482071.0
2019-12-17,2.54,2.54,2.37,2.39,600776.0
2019-12-16,2.44,2.51,2.42,2.49,948864.0
2019-12-13,2.4,2.4784,2.385,2.44,425792.0
2019-12-12,2.37,2.58,2.3,2.44,843734.0
2019-12-11,2.38,2.45,2.32,2.36,502558.0
2019-12-10,2.44,2.4711,2.32,2.37,625465.0
2019-12-09,2.7,2.7,2.38,2.48,779878.0
2019-12-06,2.77,3.0,2.62,2.65,934869.0
2019-12-05,3.21,3.45,2.71,2.91,2691527.0
2019-12-04,2.43,3.3186,2.31,3.03,2869651.0
2019-12-03,2.38,2.38,2.25,2.36,388610.0
2019-12-02,2.43,2.43,2.32,2.36,368790.0
2019-11-29,2.39,2.43,2.3507,2.4,254771.0
2019-11-27,2.38,2.42,2.32,2.36,320146.0
2019-11-26,2.48,2.55,2.32,2.37,387698.0
2019-11-25,2.31,2.55,2.31,2.46,446247.0
2019-11-22,2.4,2.43,2.31,2.31,348297.0
2019-11-21,2.45,2.45,2.36,2.4,268612.0
2019-11-20,2.4,2.5599,2.4,2.42,415203.0
2019-11-19,2.4,2.45,2.35,2.41,361884.0
2019-11-18,2.47,2.5,2.32,2.4,471554.0
2019-11-15,2.45,2.5,2.412,2.48,258505.0
2019-11-14,2.5,2.54,2.38,2.4,514759.0
2019-11-13,2.36,2.46,2.3,2.39,240197.0
2019-11-12,2.41,2.47,2.325,2.35,393652.0
2019-11-11,2.47,2.5,2.4,2.45,282686.0
2019-11-08,2.57,2.61,2.45,2.47,464443.0
2019-11-07,2.55,2.68,2.52,2.57,276319.0
2019-11-06,2.75,2.75,2.53,2.55,404472.0
