date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.43,0.55,0.43,0.52,28625678.0
2020-04-23,0.487,0.5002,0.41,0.48,34394934.0
2020-04-22,0.6,0.62,0.43,0.5525,32592777.0
2020-04-21,0.6405,0.67,0.5615,0.59,66793039.0
2020-04-20,0.4299,0.54,0.4215,0.51,92086400.0
2020-04-17,0.428,0.435,0.3805,0.41,29131795.0
2020-04-16,0.42,0.4441,0.37,0.3899,44500764.0
2020-04-15,0.3452,0.3675,0.3215,0.355,17886170.0
2020-04-14,0.397,0.4,0.3211,0.365,61363950.0
2020-04-13,0.2489,0.3549,0.2322,0.35,72463090.0
2020-04-09,0.2433,0.2488,0.23,0.241,14834748.0
2020-04-08,0.2323,0.265,0.23,0.251,17487586.0
2020-04-07,0.27,0.27,0.231,0.2499,25544589.0
2020-04-06,0.344,0.3993,0.221,0.26,147160414.0
2020-04-03,0.213,0.2692,0.2,0.218,85074866.0
2020-04-02,0.1779,0.18,0.16,0.166,5191536.0
2020-04-01,0.1988,0.2,0.17,0.171,6571289.0
2020-03-31,0.2247,0.225,0.18,0.1946,10665394.0
2020-03-30,0.2511,0.255,0.205,0.2329,21595188.0
2020-03-27,0.27,0.305,0.18,0.2241,26284054.0
2020-03-26,0.217,0.2632,0.21,0.2343,23507741.0
2020-03-25,0.3987,0.47,0.28,0.3191,77784570.0
2020-03-24,0.1488,0.155,0.1223,0.1405,3366418.0
2020-03-23,0.1645,0.168,0.101,0.1392,6274529.0
2020-03-20,0.215,0.22,0.145,0.16,12722387.0
2020-03-19,0.174,0.31,0.05,0.1218,9979449.0
2020-03-18,0.21,0.21,0.16,0.1738,197017.0
2020-03-17,0.1936,0.2184,0.141,0.2058,476565.0
2020-03-16,0.2,0.205,0.15,0.18,221113.0
2020-03-13,0.23,0.23,0.1901,0.219,221022.0
2020-03-12,0.26,0.26,0.17,0.189,553557.0
2020-03-11,0.3,0.3,0.2601,0.2627,302876.0
2020-03-10,0.2711,0.29,0.26,0.275,837409.0
2020-03-09,0.3,0.3501,0.26,0.2685,499417.0
2020-03-06,0.62,0.62,0.3602,0.37,1898562.0
2020-03-05,0.6221,0.6999,0.6208,0.6502,36065.0
2020-03-04,0.7,0.7298,0.6432,0.68,76292.0
2020-03-03,0.725,0.7575,0.68,0.7,17923.0
2020-03-02,0.86,0.87,0.7,0.7011,57050.0
2020-02-28,0.69,0.86,0.6,0.7654,132194.0
2020-02-27,0.8,0.8,0.69,0.69,71557.0
2020-02-26,0.8856,0.8856,0.761,0.7909,51998.0
2020-02-25,1.02,1.02,0.8856,0.8856,39453.0
2020-02-24,1.03,1.0599,0.98,1.0,46272.0
2020-02-21,1.05,1.16,1.04,1.06,116399.0
2020-02-20,1.18,1.18,1.06,1.0701,82048.0
2020-02-19,1.01,1.24,1.01,1.18,220422.0
2020-02-18,1.06,1.06,1.0,1.03,38446.0
2020-02-14,1.04,1.04,1.0,1.03,27003.0
