date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,1.49,1.5,1.49,1.49,50200.0
2020-03-30,1.5,1.5,1.5,1.5,100.0
2020-03-27,1.49,1.5,1.4,1.5,591.0
2020-03-26,1.4,1.5,1.3,1.3,14859.0
2020-03-25,1.367,1.5,1.06,1.5,27080.0
2020-03-24,1.5,1.5,0.8,1.49,5190.0
2020-03-23,1.3647,1.45,1.25,1.45,1908.0
2020-03-20,1.3,1.49,1.11,1.47,19597.0
2020-03-19,1.2,1.2,0.25,1.11,36103.0
2020-03-18,1.07,1.1,0.77,0.77,15891.0
2020-03-17,1.5,1.5,1.5,1.5,202.0
2020-03-16,1.3,1.45,1.3,1.4403,616.0
2020-03-13,2.72,2.72,1.46,1.46,132676.0
2020-03-12,2.0,2.05,0.83,1.91,45400.0
2020-03-11,2.39,2.4,1.8,2.1,49632.0
2020-03-10,2.41,2.62,1.89,1.89,5734.0
2020-03-09,2.13,2.48,2.0,2.08,39003.0
2020-03-06,2.38,2.415,2.2,2.35,65272.0
2020-03-05,2.4,2.6,2.25,2.53,98804.0
2020-03-04,2.485,2.53,2.4,2.53,68620.0
2020-03-03,2.47,2.47,2.03,2.38,95166.0
2020-03-02,2.4,2.5,2.4,2.44,40532.0
2020-02-28,2.3,2.49,2.18,2.49,27290.0
2020-02-27,2.66,2.68,2.25,2.57,219221.0
2020-02-26,2.6,2.6,2.55,2.6,855200.0
2020-02-25,2.8,2.81,2.55,2.6,14482.0
2020-02-24,2.63,2.71,2.595,2.6,18300.0
2020-02-21,2.7,2.75,2.7,2.71,54802.0
2020-02-20,2.75,2.83,2.68,2.7153,19192.0
2020-02-19,2.8,2.8,2.7383,2.7383,53879.0
2020-02-18,3.0,3.0,2.69,2.74,537768.0
2020-02-14,2.8277,2.865,2.69,2.69,22965.0
2020-02-13,3.25,3.25,2.7,2.75,165644.0
2020-02-12,3.0,3.0,2.7288,2.85,22327.0
2020-02-11,3.0,3.0,2.8288,2.85,6379.0
2020-02-10,2.5,2.7,2.5,2.57,120727.0
2020-02-07,2.47,2.7,2.4,2.55,17800.0
2020-02-06,2.15,2.7,2.15,2.46,1010123.0
2020-02-05,2.0,2.15,2.0,2.14,617566.0
2020-02-04,2.1,2.1,1.9877,2.1,9992.0
